Agency Name:,County of Court,Warrant Number,Submitted,Nature of the investigation,Primary Nature,Crime of Violence Options,Secondary Nature,Order Served on,Business Name,Items to be searched for:,Start Date for Info,End Date for Info,Grounds for Issuance,Reasons for Delay (if any),Emergency?,Facts giving rise to the emergency,fn,Submitted Year
Los Angeles Police Dept,Los Angeles, ,2020-12-08 17:23:00,Target uploaded files of child sexual exploitation material to Google server.,Child Exploitation, , ,Business,Google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2020-01-10 00:00:00,2020-07-11 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
",lead to destruction of or tampering with evidence,No, ,electronic-search-warrant-notifications.csv,2020
Los Angeles County Sheriff Department,Los Angeles, ,2020-09-24 11:57:00,Attempt to Identify suspect,Identity Theft, ,ID Theft,Business,"Twitter Inc., Youtube (Google LLC), Verizon Wireless","Basic subscriber information from a service provider
Other transactional and account records from a service provider
",2020-05-02 00:00:00,2020-05-06 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
",No, ,electronic-search-warrant-notifications.csv,2020
Northern California Computer Crimes Task Force,Marin,24-1219,2020-04-09 15:16:00,"The victim in this investigation wired funds to a suspect by the name of Joy White.  

The suspects who fraudulently represented themself to my victim did so for the sole purpose of my victim to wire transfer funds to various fraudulent bank accounts throughout the United States of America and the world. He did so in violation of California laws, specifically in violation of Penal Code Sections 532(a) and 487(a). I also know that the suspect furthered his crime by sending e-mails from Google Mail accounts joywhite088@gmail.com to provide instructions to the victim on where to wire transfer the defrauded funds. 
","Computer Crime Fraud
Theft/Fraud
", , ,Business,"GOOGLE, LLC ","Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2019-12-11 00:00:00,2020-04-10 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
", ,No, ,electronic-search-warrant-notifications.csv,2020
LAPD,Los Angeles, ,2020-10-16 13:20:00,Suspect uploaded 25 files of child sexual exploitation material to the Google server.  ,Child Exploitation, , ,Business,Google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2020-01-01 00:00:00,2020-10-12 00:00:00,"was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
",lead to destruction of or tampering with evidence,No, ,electronic-search-warrant-notifications.csv,2020
Los Angeles Police Department,Los Angeles, ,2020-10-08 17:01:00,Suspect uploaded images of child porngraphy to Google Photo account. Cybertip 76512109,Child Exploitation, , ,Business,Google ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2020-01-01 00:00:00,2020-10-02 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
",lead to destruction of or tampering with evidence,No, ,electronic-search-warrant-notifications.csv,2020
Los Angeles Police Department,Los Angeles, ,2020-09-23 15:40:00,Search for Child Sexual Abuse Material.  The target uploaded imases of CSAM to the Google Server,Child Exploitation, , ,Business,"Google, Inc","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2020-05-01 00:00:00,2020-09-10 00:00:00,"was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
",lead to destruction of or tampering with evidence,No, ,electronic-search-warrant-notifications.csv,2020
Los Angeles Police Department,Los Angeles, ,2020-09-23 15:30:00,Search for Child Sexual Abuse Material.  The target uploaded imases of CSAM to the Google Server,Child Exploitation, , ,Business,"Google, Inc","Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2020-05-01 00:00:00,2020-09-10 00:00:00,"was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
",lead to destruction of or tampering with evidence,No, ,electronic-search-warrant-notifications.csv,2020
Humboldt County Sheriff's Office,Humboldt,SW2000486,2020-08-18 10:57:00,Possession of Child Pornography,Child Exploitation, , ,Business,Google Inc.,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2020-01-01 00:00:00,2020-07-24 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
","lead to flight from prosecution
lead to destruction of or tampering with evidence
",No, ,electronic-search-warrant-notifications.csv,2020
Humboldt County Sheriff's Office,Humboldt,SW2000374,2020-07-24 11:34:00,Possession of Child Pornography,Child Exploitation, , ,Business,"Google LLC, Dropbox Inc.","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2020-04-01 00:00:00,2020-06-18 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
", ,No, ,electronic-search-warrant-notifications.csv,2020
Roseville Police Department,Placer,63-021171,2020-08-10 16:57:00,Criminal threats,Threats/Harassment, , ,Business,Google,"Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2020-05-01 00:00:00,2020-05-27 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"endanger the life or physical safety of an individual
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,electronic-search-warrant-notifications.csv,2020
Northern California Computer Crimes Task Force,Solano,24-1219,2020-04-09 15:24:00,"The victim in this investigation wired funds to a suspect by the name of Anthony Benedetto.  

The suspects who fraudulently represented themself to my victim did so for the sole purpose of my victim to wire transfer funds to various fraudulent bank accounts throughout the United States of America and the world. He did so in violation of California laws, specifically in violation of Penal Code Sections 532(a) and 487(a). I also know that the suspect furthered his crime by sending e-mails from Google Mail accounts anthonybenedetto098@gmail.com to provide instructions to the victim on where to wire transfer the defrauded funds. 
","Computer Crime Fraud
Theft/Fraud
", , ,Business,"GOOGLE, LLC ","Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2019-12-11 00:00:00,2020-04-10 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
", ,No, ,electronic-search-warrant-notifications.csv,2020
Los Angeles Police Department,Los Angeles,CC202087585,2020-07-15 08:01:00,Suspect opened a credit account and used a false name to obtain items from retail stores.,Theft/Fraud, , ,Business,"Bank of America, Google, Apple Inc.","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
Bank records (signature cards, deposit slips, checks, loans, credit cards, memos), Email account cookies, IP access, 
",2019-06-01 00:00:00,2020-02-18 00:00:00,"was stolen or embezzled
was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,electronic-search-warrant-notifications.csv,2020
Los Angeles Police Department,Los Angeles,CC202086659,2020-07-08 09:57:00,Suspect accessed the victims accounts and contacted number,Computer Crime Fraud, , ,Business,Google Inc,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Communications (email, text, voice mail, or other communication)
IP address, banking information
",2019-06-12 00:00:00,2019-06-16 00:00:00,"was stolen or embezzled
was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,electronic-search-warrant-notifications.csv,2020
LAPD,Los Angeles, ,2020-10-16 15:17:00,Suspect uploaded child sexual exploitation material to Dropbox.  The Google email lingj58@gmail.com  was used to create the dropbox account.,Child Exploitation, , ,Business,Google,"Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2020-01-01 00:00:00,2020-10-01 00:00:00,"was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
",lead to destruction of or tampering with evidence,No, ,electronic-search-warrant-notifications.csv,2020
San Jose Police Department,Santa Clara,,2020-08-21 15:56:00,"The warrant was issued as part of an investigation into a homicide at the Weinerschnitzel located at 411 N Capitol Ave, San Jose, on 5/17/20.",Homicide, , ,Business,Google,"Basic subscriber information from a service provider
Location information
",2020-05-22 00:00:00,2020-05-22 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
",No, ,electronic-search-warrant-notifications.csv,2020
San Diego Police,San Diego,60428 & 60429,2020-09-15 08:13:00,Homicide and attempted homicide investigation.,Homicide, , ,Business,ATT and Google,Location information,2018-12-08 00:00:00,2018-12-08 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
",No, ,electronic-search-warrant-notifications.csv,2020
San Diego PD,San Diego, ,2020-01-28 10:29:00,ID Theft,Theft/Fraud, ,ID Theft,Business,"Google, TextNow, Quadranet","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2019-06-01 00:00:00,2019-10-30 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,lead to destruction of or tampering with evidence,No, ,electronic-search-warrant-notifications.csv,2020
Sunnyvale Police,Santa Clara, ,2020-02-20 15:44:00,187 PC,Homicide, , ,Business,Google,"Basic subscriber information from a service provider
Location information
",2017-06-07 00:00:00,2017-06-08 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,lead to destruction of or tampering with evidence,No, ,electronic-search-warrant-notifications.csv,2020
Sunnyvale Police,Santa Clara, ,2020-03-06 11:40:00,664/187 PC,Crime of Violence,Assault, ,Business,Google,"Basic subscriber information from a service provider
Location information
",2019-02-05 00:00:00,2019-02-05 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,lead to destruction of or tampering with evidence,No, ,electronic-search-warrant-notifications.csv,2020
Sunnyvale DPS,Santa Clara, ,2020-04-30 08:25:00,Homicide investigation,Homicide, , ,Business,Google,Location information,2013-06-16 00:00:00,2013-06-18 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,electronic-search-warrant-notifications.csv,2020
Emeryville Police Department,Alameda, ,2020-10-22 15:33:00,"Elderly female was taken for $20,000 by a Jamaican Switch/Pigeon Drop scam, a theft by false pretenses.",Theft/Fraud, , ,Business,"Google, LLC","Other transactional and account records from a service provider
Location information
",2020-10-15 00:00:00,2020-10-15 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,electronic-search-warrant-notifications.csv,2020
Mountain View Police Department,Santa Clara, ,2020-03-31 16:01:00,The search warrant was issued as part of an investigation regarding ID theft.,Theft/Fraud, ,ID Theft,Business,"Google, Inc.","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Communications (email, text, voice mail, or other communication)
",2020-02-02 00:00:00,2020-03-26 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,otherwise seriously jeopardize an investigation or unduly delay a trial,No, ,electronic-search-warrant-notifications.csv,2020
Sacramento County Sheriff's Department,Sacramento,19SW3344,2020-01-07 10:46:00,"Homicide.  The search warrant was ordered ""sealed"" by the court. ",Homicide, , ,Business,"Google, Hotmail, Yahoo","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2019-10-01 00:00:00,2019-11-06 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,otherwise seriously jeopardize an investigation or unduly delay a trial,No, ,electronic-search-warrant-notifications.csv,2020
Sacramento County Sheriff's Dept,Sacramento,19SW3344,2020-01-07 10:48:00,"Homicide.  The search warrant was ordered ""sealed"" by the court. ",Homicide, , ,Business,"Google, Hotmail, Yahoo","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2019-10-01 00:00:00,2019-11-06 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,otherwise seriously jeopardize an investigation or unduly delay a trial,No, ,electronic-search-warrant-notifications.csv,2020
Sacramento County Sheriff's Dept,Sacramento,19SW3344,2020-01-07 10:51:00,"Homicide.  The search warrant was ordered ""sealed"" by the court. ",Homicide, , ,Business,"Google, Hotmail, Yahoo","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2019-10-01 00:00:00,2019-11-06 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,otherwise seriously jeopardize an investigation or unduly delay a trial,No, ,electronic-search-warrant-notifications.csv,2020
Sacramento County Sheriff's Department ,Sacramento,19SW3344,2020-01-07 10:52:00,"Homicide.  The search warrant was ordered ""sealed"" by the court. ",Homicide, , ,Business,"Google, Yahoo, Hotmail","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2019-10-01 00:00:00,2019-11-06 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,otherwise seriously jeopardize an investigation or unduly delay a trial,No, ,electronic-search-warrant-notifications.csv,2020
Sacramento County Sheriff's Department ,Sacramento,19SW3344,2020-01-07 10:54:00,"Homicide.  The search warrant was ordered ""sealed"" by the court. ",Homicide, , ,Business,"Google, Hotmail, Yahoo","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2019-10-01 00:00:00,2019-11-06 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,otherwise seriously jeopardize an investigation or unduly delay a trial,No, ,electronic-search-warrant-notifications.csv,2020
Sacramento County Sheriff's Office,Sacramento,20SW00061,2020-01-13 16:46:00,The search warrant was ordered sealed by the court.,Homicide, , ,Business,Google,"Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-01-01 00:00:00,2019-10-21 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,otherwise seriously jeopardize an investigation or unduly delay a trial,No, ,electronic-search-warrant-notifications.csv,2020
Sacramento County Sheriff's Office,Sacramento,19SW00741,2020-01-15 16:23:00,The search warrant was ordered sealed by the court. ,Homicide, , ,Business,Google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2018-01-01 00:00:00,2019-03-14 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,otherwise seriously jeopardize an investigation or unduly delay a trial,No, ,electronic-search-warrant-notifications.csv,2020
San Jose Police Department ,Santa Clara, ,2020-03-01 17:49:00,"The warrant was issued as part of an investigation into an assault in, San Jose.",Crime of Violence,Assault, ,Business,Google,Basic subscriber information from a service provider,2019-04-08 00:00:00,2019-04-08 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,lead to destruction of or tampering with evidence,No, ,electronic-search-warrant-notifications.csv,2020
Sacramento County Sheriff's Dept,Sacramento,20SW00215,2020-01-27 17:22:00,The search warrant was ordered sealed by the court,Homicide, , ,Business,Google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2019-04-13 00:00:00,2019-07-07 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,otherwise seriously jeopardize an investigation or unduly delay a trial,No, ,electronic-search-warrant-notifications.csv,2020
Sacramento County Sheriff's Department,Sacramento,20SW00215,2020-01-27 17:36:00,The search warrant was ordered sealed by the court,Homicide, , ,Business,Google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2019-04-13 00:00:00,2019-07-07 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,otherwise seriously jeopardize an investigation or unduly delay a trial,No, ,electronic-search-warrant-notifications.csv,2020
Sacramento County Sheriff's Dept,Sacramento,20SW00215,2020-01-27 17:40:00,The search warrant was ordered sealed by the court,Homicide, , ,Business,Google.com,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
",2019-04-13 00:00:00,2019-07-07 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,otherwise seriously jeopardize an investigation or unduly delay a trial,No, ,electronic-search-warrant-notifications.csv,2020
Santa Clara County Sheriff's Office,Santa Clara, ,2020-12-31 10:32:00,Bank Robbery involving firearms and vehicle theft.,Crime of Violence,Robbery, ,Business,Google LLC,Location information,2020-11-09 00:00:00,2020-11-09 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
",lead to flight from prosecution,No, ,electronic-search-warrant-notifications.csv,2020
Sacramento County Sheriff's Dept,Sacramento,20SW00215,2020-01-27 17:42:00,The search warrant was ordered sealed by the court,Homicide, , ,Business,Google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2019-04-13 00:00:00,2019-07-07 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,otherwise seriously jeopardize an investigation or unduly delay a trial,No, ,electronic-search-warrant-notifications.csv,2020
San Mateo Co DA's Office,San Mateo, ,2020-12-24 09:27:00,"Homicide of individual Diego Barahona-Flores in Brisbane, CA.",Homicide, , ,Business,Google,Location information,2020-12-18 00:00:00,2020-12-18 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
",No, ,electronic-search-warrant-notifications.csv,2020
Oxnard Police Department,Ventura, ,2020-12-14 13:49:00,Homicide Investigation,Homicide, , ,Business,Google LLC,"Stored files (picture, documents, or other files)",2017-04-12 00:00:00,2017-04-12 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, ,electronic-search-warrant-notifications.csv,2020
Oxnard Police Department,Ventura, ,2020-08-18 16:03:00,HOMICIDE INVESTIGATION,Homicide, , ,Business,GOOGLE LLC,Location information,2019-01-01 00:00:00,2019-01-01 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,electronic-search-warrant-notifications.csv,2020
Oxnard Police Department,Ventura, ,2020-07-07 12:23:00,Armed Robbery,Crime of Violence,Robbery, ,Business,Google LLC,Location information,2020-04-06 00:00:00,2020-04-06 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,electronic-search-warrant-notifications.csv,2020
Oxnard Police Department,Ventura,841-20,2020-06-16 10:45:00,Homicide Investigation,Homicide, , ,Business,Google LLC,Location information,2019-01-01 00:00:00,2019-01-01 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,electronic-search-warrant-notifications.csv,2020
Stockton Police Department,San Joaquin, ,2020-05-06 14:51:00,"Homicide that occurred in Stockton, CA near Navy Dr/Pershing Av in November 2019. ",Homicide, , ,Business,Google/Facebook/Sprint/T-mobile/ATT/Verizon,"Basic subscriber information from a service provider
Location information
Communications (email, text, voice mail, or other communication)
",2014-09-11 00:00:00,2020-05-05 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, ,electronic-search-warrant-notifications.csv,2020
Stockton Police Department,San Joaquin, ,2020-06-08 09:46:00,"Homicide investigation regarding incident that took place in Stockton, CA in January 2020. ",Homicide, , ,Business,"Google, ATT, Sprint, T-Mobile and Verizon","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2020-01-01 00:00:00,2020-01-31 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,otherwise seriously jeopardize an investigation or unduly delay a trial,No, ,electronic-search-warrant-notifications.csv,2020
Stockton Police Department,San Joaquin, ,2020-06-16 08:58:00,"homicide investigation regarding incident that took place in Stockton, CA near Astor/Bedlow in April 2019. ",Homicide, , ,Business,Sprint/Tmobile/Att/Verizon & Google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2019-03-01 00:00:00,2019-04-30 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,otherwise seriously jeopardize an investigation or unduly delay a trial,No, ,electronic-search-warrant-notifications.csv,2020
Los Angeles Police Department,Los Angeles, ,2020-01-08 07:53:00,Suspect used TextNow.com VOIP to call in a bomb threat to LA Convention Center. Textnow.com provided suspect's Gmail account after being served with search warrant.,Threats/Harassment, , ,Business,"Google, Inc.","Basic subscriber information from a service provider
Location information
Communications (email, text, voice mail, or other communication)
",2019-12-01 00:00:00,2020-01-06 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,electronic-search-warrant-notifications.csv,2020
Los Angeles Police Department,Los Angeles, ,2020-01-15 14:49:00,Suspect called in a bomb threat to LA Convention Center using VOIP app that registered with Gmail account. Search warrant to Google resulted in two IP addresses associated with Suspect's Gmail account.,Threats/Harassment, , ,Business,Verizon and Comcast Communications,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
",2019-12-01 00:00:00,2020-01-13 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,electronic-search-warrant-notifications.csv,2020
Los Angeles School Police Department,Los Angeles,CC 19-82672,2020-03-17 10:24:00,Suspect(s) took over several victims online accounts gaining access to their financial accounts.,Theft/Fraud, , ,Business,"TextNow, Google, Inteliquent, IPVanish, 1&1 Mail & Media, Regions Bank","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2019-05-01 00:00:00,2019-06-18 00:00:00,"was used as the means of committing a felony
provider of electronic communications service has records or evidence showing that property or things are in the possession
",otherwise seriously jeopardize an investigation or unduly delay a trial,No, ,electronic-search-warrant-notifications.csv,2020
Los Angeles School Police Department,Los Angeles,CC 19-82929,2020-03-17 10:34:00,Suspect(s) took over several victims online accounts gaining access to their financial accounts.,Theft/Fraud, , ,Business,"Google, IPVanish","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2019-05-01 00:00:00,2019-06-26 00:00:00,"was used as the means of committing a felony
provider of electronic communications service has records or evidence showing that property or things are in the possession
",otherwise seriously jeopardize an investigation or unduly delay a trial,No, ,electronic-search-warrant-notifications.csv,2020
REACT,Santa Clara, ,2020-01-24 11:41:00,Grand Theft / ID Theft case and possible emails of suspects,Theft/Fraud, ,ID Theft,Business,Google,"Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2010-04-01 00:00:00,2019-11-01 00:00:00,was used as the means of committing a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,electronic-search-warrant-notifications.csv,2020
Simi Valley PD,Ventura,20-15465,2020-07-01 17:06:00,tower dump for a homicide,Homicide, , ,Business,"T-Mobile, Sprint, Metro PCS, Verizon, AT&T, Google","Basic subscriber information from a service provider
Location information
",2020-03-01 00:00:00,2020-04-18 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,electronic-search-warrant-notifications.csv,2020
Santa Clara Police Department,Santa Clara,CSW60094,2020-12-23 13:25:00,PC 261 - Google Reverse Location Search,Crime of Violence,Rape, ,Business,Google,Location information,2013-07-26 00:00:00,2013-07-26 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,endanger the life or physical safety of an individual,No, ,electronic-search-warrant-notifications.csv,2020
Santa Clara County Office of the District Attorney,Santa Clara,,2020-03-19 19:38:00,Network intrusion enabling account takeovers of cell phone accounts,Computer Crime Fraud, ,ID Theft,Business,"Google, Inc.","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2019-01-01 00:00:00,2020-03-19 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,electronic-search-warrant-notifications.csv,2020
Los Angeles Police Department,Los Angeles, ,2020-01-28 14:25:00,Subject uploaded files depicting child pornography,Child Exploitation, , ,Business,"Google, Inc.","Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2019-01-01 00:00:00,2019-09-20 00:00:00,"tends to show that a felony has been committed or that a particular person has committed a felony
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,electronic-search-warrant-notifications.csv,2020
